latitud;provincia;altitud;indicativo;nombre;indsinop;longitud
413515N;BARCELONA;74;0252D;ARENYS DE MAR;8186;023224E
411734N;BARCELONA;4;76;BARCELONA AEROPUERTO;8181;020412E
412506N;BARCELONA;408;0200E;BARCELONA, FABRA;;020727E
412326N;BARCELONA;6;0201D;BARCELONA;8180;021200E
414312N;BARCELONA;291;0149X;MANRESA;8174;015025E
413125N;BARCELONA;146;0229I;SABADELL AEROPUERTO;8192;020611E
413903N;BARCELONA;40;0255B;SANTA SUSANNA;8188;024149E
415442N;GIRONA;143;367;GIRONA AEROPUERTO;8184;024548E
415848N;GIRONA;95;0370B;GIRONA, ANTIC INSTITUT;;024931E
420616N;GIRONA;157;0372C;PORQUERES;8120;024549E
421129N;GIRONA;675;0324A;RIPOLL;8118;021146E
410842N;TARRAGONA;71;0016A;REUS AEROPUERTO;8175;010949E
405729N;TARRAGONA;32;0002I;VANDELLÒS  ;8169;005217E
431825N;A CORUÑA;98;1387E;A CORUÑA AEROPUERTO;8002;082219W
432157N;A CORUÑA;58;1387;A CORUÑA;8001;082517W
430938N;A CORUÑA;50;1393;CABO VILÁN;8006;091239W
434710N;A CORUÑA;80;1351;ESTACA DE BARES;8004;074105W
425529N;A CORUÑA;230;1400;FISTERRA;8040;091729W
424314N;A CORUÑA;685;1437O;MONTE IROITE;8043;085524W
424418N;A CORUÑA;100;1473A;PADRÓN;8039;083738W
425317N;A CORUÑA;370;1428;SANTIAGO DE COMPOSTELA AEROPUERTO;8042;082438W
425234N;A CORUÑA;240;1475X;SANTIAGO DE COMPOSTELA;8041;083321W
433401N;ASTURIAS;127;1212E;ASTURIAS AEROPUERTO;8011;060239W
433409N;ASTURIAS;60;1283U;CABO BUSTO;8010;062812W
433921N;ASTURIAS;100;1210X;CABO PEÑAS;8012;055055W
433129N;ASTURIAS;40;1331A;CASTROPOL;8009;070153W
433123N;ASTURIAS;26;1207U;GIJÓN, CAMPUS;8014;053716W
433230N;ASTURIAS;22;1208A;GIJÓN. LA MERCED;;053943W
433336N;ASTURIAS;5;1208H;GIJÓN, PUERTO;8014;054203W
